,modalidade,R$,grande_area
0,AED - Auxílio a Editoração e Publicação,52500.0,Todas
1,APQ - Auxílio a Pesquisa,9354184.66,Todas
2,ARC - Promoção de Eventos Científicos,451000.0,Todas
3,AT - Apoio Técnico a Pesquisa,88450.0,Todas
4,ATP - Apoio Técnico em Extensão no País ,143900.0,Todas
5,DCR - Desenvolvimento Cientifico Regional,672200.0,Todas
6,DT - Produtividade Desen. Tec. e Extensão ,304700.0,Todas
7,DTI - Desenvolvimento Tecnológico Industrial,785660.0,Todas
8,EV - Especialista Visitante,91500.0,Todas
9,EXP - Extensão no País,99060.0,Todas
10,GD - Doutorado,3081902.0,Todas
11,GM - Mestrado,1993500.0,Todas
12,IC - Iniciação Científica,4216400.0,Todas
13,ICJ - Iniciação Científica Júnior,251100.0,Todas
14,IT - Iniciação Tecnológica,426800.0,Todas
15,ITC - Iniciação Tecnológica em TICs,22000.0,Todas
16,ITI - Iniciação Tecnológica e Industrial,75044.0,Todas
17,PAV - Bolsa Pesquisador-Avaliador,1200.0,Todas
18,PDI - Pos-doutorado Empresarial,24600.0,Todas
19,PDJ - Pós-doutorado Júnior,391100.0,Todas
20,PDS - Pós-doutorado Sênior,9600.0,Todas
21,PQ - Produtividade em Pesquisa,6671480.0,Todas
22,PV - Pesquisador Visitante,127207.31,Todas
23,SET - Fixação de Recursos Humanos,879700.0,Todas
24,SWP - Doutorado-Sanduiche no Pais,15200.0,Todas
0,AED - Auxílio a Editoração e Publicação,12000.0,Ciências Agrárias
1,AED - Auxílio a Editoração e Publicação,40500.0,Ciências Humanas
2,APQ - Auxílio a Pesquisa,960382.5700000001,Ciências Agrárias
3,APQ - Auxílio a Pesquisa,2158260.0,Ciências Biológicas
4,APQ - Auxílio a Pesquisa,1058900.0,Ciências Exatas e da Terra
5,APQ - Auxílio a Pesquisa,584385.36,Ciências Humanas
6,APQ - Auxílio a Pesquisa,294005.71,Ciências Sociais Aplicadas
7,APQ - Auxílio a Pesquisa,1265191.21,Ciências da Saúde
