grande_area,Apoio Técnico a Pesquisa,Apoio Técnico em Extensão no País ,Auxílio a Editoração e Publicação,Auxílio a Pesquisa,Bolsa Pesquisador-Avaliador,Desenvolvimento Cientifico Regional,Desenvolvimento Tecnológico Industrial,Doutorado,Doutorado-Sanduiche no Pais,Especialista Visitante,Extensão no País,Fixação de Recursos Humanos,Iniciação Científica,Iniciação Científica Júnior,Iniciação Tecnológica,Iniciação Tecnológica e Industrial,Iniciação Tecnológica em TICs,Mestrado,Pesquisador Visitante,Pos-doutorado Empresarial,Produtividade Desen. Tec. e Extensão ,Produtividade em Pesquisa,Promoção de Eventos Científicos,Pós-doutorado Júnior,Pós-doutorado Sênior
Ciências Agrárias,0,7,1,10,0,7,16,15,0,1,0,13,173,27,42,14,0,57,0,0,0,39,1,2,1
Ciências Biológicas,7,2,0,13,0,6,1,30,0,0,0,11,221,19,13,0,0,18,1,1,0,66,2,4,0
Ciências Exatas e da Terra,1,2,0,11,1,3,10,39,0,0,0,6,312,206,53,2,1,53,0,0,0,115,3,4,0
Ciências Humanas,1,0,3,14,0,3,0,19,0,0,0,3,290,50,17,0,2,20,1,0,0,42,0,0,1
Ciências Sociais Aplicadas,4,0,0,10,0,0,0,3,0,0,0,0,142,9,4,0,0,10,1,0,0,31,0,0,0
Ciências da Saúde,8,34,0,16,0,0,15,20,1,1,15,23,356,27,33,5,0,13,1,0,0,52,0,3,0
Engenharias,5,2,0,23,0,1,19,11,0,1,0,8,180,28,37,15,2,34,0,0,0,54,2,3,0
"Lingüística, Letras e Artes",1,2,0,1,0,0,0,5,0,0,0,0,77,20,0,0,0,0,0,0,0,9,0,0,0
Outra,2,0,0,11,0,0,6,0,0,0,0,4,19,0,0,0,0,5,0,0,0,5,0,0,0
Tecnologias,0,0,0,0,0,0,0,0,0,0,0,0,86,6,9,0,0,0,0,0,24,0,0,0,0
