,uf,qtd_bolsas,qtd_beneficiarios,R$
0,SP,34401,26894,415665842.16
1,RJ,33809,25970,206128397.8
2,MG,14946,11919,159343106.43
3,RS,13997,10873,136088406.1
4,PR,8934,7479,79478384.77
5,DF,8777,7410,65749320.49
6,PE,6119,4879,51361551.9
7,SC,5890,4751,60334558.27
8,BA,5397,4436,59219444.68
9,CE,4500,3544,30229987.97
10,PB,4294,3488,28628723.02
11,PA,3836,2970,26355291.8
12,GO,3122,2653,27660680.21
13,RN,3106,2537,19691894.09
14,MS,2075,1761,13050276.209999999
15,AM,1872,1491,17964666.01
16,MT,1836,1640,9737814.91
17,ES,1835,1513,13455119.13
18,SE,1650,1404,10799925.620000001
19,MA,1375,1233,7089276.21
20,AL,1360,1087,7090757.8
21,PI,1213,1045,5781315.05
22,TO,755,615,3688291.75
23,Exterior,752,608,40015041.03
24,RO,509,468,3421147.99
25,RR,315,282,1258873.22
26,AC,300,270,1160165.0
27,AP,274,242,1385442.24
