,uf,modalidade,R$
0,AC,Todas,1160165.0
1,AL,Todas,7090757.8
2,AM,Todas,17964666.01
3,AP,Todas,1385442.24
4,BA,Todas,59219444.68
5,CE,Todas,30229987.97
6,DF,Todas,65749320.49
7,ES,Todas,13455119.13
8,Exterior,Todas,40015041.03
9,GO,Todas,27660680.21
10,MA,Todas,7089276.21
11,MG,Todas,159343106.43
12,MS,Todas,13050276.209999999
13,MT,Todas,9737814.91
14,PA,Todas,26355291.8
15,PB,Todas,28628723.02
16,PE,Todas,51361551.9
17,PI,Todas,5781315.05
18,PR,Todas,79478384.77
19,RJ,Todas,206128397.8
20,RN,Todas,19691894.09
21,RO,Todas,3421147.99
22,RR,Todas,1258873.22
23,RS,Todas,136088406.1
24,SC,Todas,60334558.27
25,SE,Todas,10799925.620000001
26,SP,Todas,415665842.16
27,TO,Todas,3688291.75
0,AC,APQ - Auxílio a Pesquisa,442265.0
1,AC,ARC - Promoção de Eventos Científicos,50000.0
2,AC,DCR - Desenvolvimento Cientifico Regional,102800.0
3,AC,EXP - Extensão no País,6600.0
4,AC,GM - Mestrado,13500.0
5,AC,IC - Iniciação Científica,408400.0
6,AC,ICJ - Iniciação Científica Júnior,11400.0
7,AC,IT - Iniciação Tecnológica,72400.0
8,AC,PQ - Produtividade em Pesquisa,52800.0
9,AL,APQ - Auxílio a Pesquisa,2421351.8
10,AL,ARC - Promoção de Eventos Científicos,60000.0
11,AL,AT - Apoio Técnico a Pesquisa,43200.0
12,AL,ATP - Apoio Técnico em Extensão no País ,35150.0
13,AL,DCR - Desenvolvimento Cientifico Regional,141000.0
14,AL,DT - Produtividade Desen. Tec. e Extensão ,139980.0
15,AL,DTI - Desenvolvimento Tecnológico Industrial,36100.0
16,AL,EXP - Extensão no País,111360.0
17,AL,GD - Doutorado,645906.0
18,AL,GM - Mestrado,127500.0
19,AL,IC - Iniciação Científica,1560000.0
20,AL,ICJ - Iniciação Científica Júnior,63700.0
21,AL,IT - Iniciação Tecnológica,183600.0
22,AL,PDJ - Pós-doutorado Júnior,162350.0
23,AL,PQ - Produtividade em Pesquisa,1359560.0
24,AM,ADC - Apoio à Difusão do Conhecimento,23184.0
25,AM,AED - Auxílio a Editoração e Publicação,24000.0
26,AM,APQ - Auxílio a Pesquisa,7343835.76
27,AM,ARC - Promoção de Eventos Científicos,50000.0
28,AM,AT - Apoio Técnico a Pesquisa,25650.0
29,AM,DCR - Desenvolvimento Cientifico Regional,201282.25
30,AM,DT - Produtividade Desen. Tec. e Extensão ,55400.0
31,AM,DTI - Desenvolvimento Tecnológico Industrial,1542400.0
32,AM,EV - Especialista Visitante,153500.0
33,AM,EXP - Extensão no País,81940.0
34,AM,GD - Doutorado,1001284.0
35,AM,GM - Mestrado,706500.0
36,AM,IC - Iniciação Científica,1772400.0
37,AM,ICJ - Iniciação Científica Júnior,60300.0
38,AM,IEX - Iniciação ao Extensionismo,360.0
39,AM,IT - Iniciação Tecnológica,194400.0
40,AM,ITI - Iniciação Tecnológica e Industrial,15200.0
41,AM,PCI - Programa de Capacitação Institucional,2911870.0
42,AM,PDJ - Pós-doutorado Júnior,307100.0
43,AM,PQ - Produtividade em Pesquisa,1320360.0
44,AM,PV - Pesquisador Visitante,31200.0
45,AM,SET - Fixação de Recursos Humanos,142500.0
46,AP,APQ - Auxílio a Pesquisa,544142.24
47,AP,DCR - Desenvolvimento Cientifico Regional,147000.0
