,uf,R$,pct
26,SP,415665842.16,27.68
19,RJ,206128397.8,13.73
11,MG,159343106.43,10.61
23,RS,136088406.1,9.06
18,PR,79478384.77,5.29
6,DF,65749320.49,4.38
24,SC,60334558.27,4.02
4,BA,59219444.68,3.94
16,PE,51361551.9,3.42
8,Exterior,40015041.03,2.66
5,CE,30229987.97,2.01
15,PB,28628723.02,1.91
9,GO,27660680.21,1.84
14,PA,26355291.8,1.75
20,RN,19691894.09,1.31
2,AM,17964666.01,1.2
7,ES,13455119.13,0.9
12,MS,13050276.209999999,0.87
25,SE,10799925.620000001,0.72
13,MT,9737814.91,0.65
1,AL,7090757.8,0.47
10,MA,7089276.21,0.47
17,PI,5781315.05,0.38
27,TO,3688291.75,0.25
21,RO,3421147.99,0.23
3,AP,1385442.24,0.09
22,RR,1258873.22,0.08
0,AC,1160165.0,0.08
